Japanese,English
何 ,what 
あ ,a 
あなた ,you 
言 ,Word 
行 ,OK 
人 ,people 
知 ,Know 
事 ,case 
彼女 ,she 
お前 ,You
話 ,Story 
来 ,Come 
分か ,minutes
者 ,By 
聞 ,smell 
死 ,die 
時 ,hour 
ああ ,ah 
殺 ,kill 
前 ,forward 
中 ,middle 
達 ,reach
必要 ,need 
あの ,That
気 ,air 
大丈夫 ,Are you okay 
自分 ,myself 
持 ,hold
本当 ,TRUE 
時間 ,time 
我々 ,we 
一 ,one 
的 ,of 
無 ,none 
ありがとう ,thank you 
家 ,Home 
会 ,meeting 
日 ,Day 
年 ,Year 
仕事 ,work 
手 ,hand 
一緒 ,together 
後 ,back 
出来 ,come out 
他 ,he 
入 ,enter 
電話 ,Telephone 
目 ,eye 
様 ,Mr 
分 ,point 
車 ,car 
所 ,Place 
あんた ,You
度 ,Every time 
同じ ,same 
場所 ,place 
問題 ,question 
子供 ,child 
愛 ,like 
金 ,Money 
名前 ,name 
子 ,Child 
信 ,letter 
さあ ,here we go 
少し ,a bit 
使 ,make 
全て ,all 
世界 ,world 
教え ,lesson 
通り ,street 
来る ,come 
上 ,superior 
入れ ,Get in 
人間 ,human 
行け ,go 
今日 ,today 
物 ,thing 
女 ,female 
呼 ,Call
生き ,alive
あれ ,that 
じゃあ ,Well then
止め ,stop
心配 ,anxiety 
母 ,mother 
連れ ,companion
関係 ,relationship 
外 ,outside 
家族 ,family 
起き ,wake up
意味 ,meaning 
神 ,god 
警察 ,police 
力 ,force 
最後 ,at last 
作 ,do 
次 ,Second-rate 
息子 ,son 
取 ,Pick 
全部 ,all 
間 ,between 
書 ,Book 
捜査 ,investigation
起こ ,wake up
回 ,times 
別 ,another 
情報 ,information 
理由 ,reason 
数 ,number 
一人 ,one person 
部屋 ,room 
以上 ,that's all 
人生 ,Life 
急 ,Sudden 
食べ ,eat 
女性 ,woman 
続け ,continue 
事件 ,event 
始め ,start 
最初 ,first 
連絡 ,contact 
まあ ,oh dear 
調べ ,Investigation
安全 ,Safety 
下さ ,Down
楽し ,fun
殺人 ,kill
下 ,Down 
万 ,Ten thousand 
友達 ,friend 
約束 ,promise 
二 ,two 
結婚 ,marriage
無理 ,Impossible 
感じ ,feeling
得 ,have to 
最高 ,Highest 
送 ,deliver 
計画 ,plan 
仲間 ,fellow 
先 ,First 
可能 ,possible 
あいつ ,that person 
あと ,After 
明日 ,tomorrow 
変わ ,strange
聞こえ ,I can hear it
確認 ,confirmation 
命 ,life 
着 ,With
与え ,give
全員 ,Everyone
動 ,move 
理解 ,understand 
二人 ,two people
開け ,open 
友人 ,friend 
機 ,machine 
不 ,No 
あげ ,Fried
離れ ,apart
戦 ,war
先生 ,gentlemen 
言え ,say 
質問 ,question 
置 ,set
犯人 ,culprit 
受け ,Receiving
感 ,Feeling
第 ,No.
あぁ ,Ahh 
伝え ,Legend
素晴らし ,Wonderful 
ドア ,door
本 ,Book 
乗 ,Squared
用 ,use 
感謝 ,grateful 
正し ,Correct
言葉 ,words 
大 ,big 
立 ,stand 
写真 ,photograph 
２人 ,2 people
説明 ,explanation 
博士 ,PhD 
強 ,powerful 
絶対 ,absolute 
座 ,seat
国 ,country 
向か ,Across the street
名 ,name 
ある ,be 
野郎 ,Bastard
番 ,number
一番 ,number one 
重要 ,important 
状況 ,situation 
元気 ,fine 
水 ,water 
変え ,change
十分 ,ten
週間 ,week 
やあ ,Hi 
父親 ,Father 
間違い ,error 
王 ,king 
了解 ,learn 
相手 ,partner 
員 ,member 
声 ,voice
会え ,See you
音 ,sound 
多く ,many
消え ,vanish 
会社 ,company 
簡単 ,easy 
選 ,select 
残念 ,disappointing 
自由 ,free 
自身 ,himself
等 ,wait 
一体 ,One body
人々 ,people 
報告 ,Report 
読 ,reading
過ぎ ,too much
通 ,Pass 
アメリカ ,America 
元 ,Yuan 
命令 ,Order 
高 ,high 
体 ,body
大統領 ,president 
月 ,moon 
警官 ,police officer
語 ,words
学校 ,School 
対 ,versus 
決め ,decision
真実 ,truth 
初めて ,first time 
口 ,mouth 
大変 ,hard 
要 ,want 
変 ,strange 
戦争 ,war 
学 ,study 
あそこ ,over there 
武器 ,weapons
店 ,shop 
母親 ,Mother 
刑事 ,criminal
気持ち ,feeling 
間違 ,mistake 
運 ,luck 
記録 ,record 
光 ,Light 
手伝 ,help 
深 ,deep 
落ち着 ,calm down
存在 ,exist 
実 ,fruit 
役 ,role
病院 ,hospital 
住 ,live 
責任 ,responsibility 
あっ ,Ah 
普通 ,Normal
行動 ,action
大きな ,big 
監視 ,monitoring
協力 ,cooperation 
多分 ,perhaps 
実際 ,actual 
足 ,feet 
地球 ,Earth 
生活 ,Life 
任せ ,leave to 
気分 ,feeling 
解決 ,solve 
結果 ,result 
調査 ,investigation 
研究 ,Research 
何処 ,where
発見 ,discovery 
場 ,field
大事 ,important
止ま ,stop
興味 ,interest 
大き ,big 
生 ,born 
なあ ,Hey
運転 ,driving 
ヶ月 ,months 
多 ,many 
１人 ,1 person
番号 ,number 
状態 ,situation 
来い ,come 
開 ,open 
上手 ,good 
済 ,done 
場合 ,case 
刑務 ,prison sentence
今度 ,next time 
以外 ,other than 
朝 ,morning 
飛行 ,fly
あまり ,not much 
近く ,near 
後ろ ,behind 
目的 ,Purpose 
歌 ,Song 
面白 ,Interesting
弁護 ,defense
客 ,customer
売 ,Sale
特別 ,special 
昨日 ,yesterday
少な ,little
認め ,recognition
死体 ,corpse
医者 ,doctor 
装置 ,device
共 ,common 
唯一 ,only 
あんな ,That kind of thing
不明 ,not clear 
限り ,as long as 
信用 ,Credit 
美し ,beautiful 
用意 ,preparation 
話せ ,talk
移動 ,move 
映画 ,movie 
美咲 ,Misaki
取引 ,transaction 
最近 ,recently 
現場 ,on site 
事故 ,accident
連中 ,guys
過去 ,past 
全く ,absolutely 
選択 ,choice 
完全 ,completely 
信じ ,believe
信頼 ,trust 
町 ,town 
何故 ,why
始ま ,beginning
精神 ,Spirit 
付け ,attached
あら ,fault 
女の子 ,girl 
気づ ,Notice
記憶 ,memory 
頑張 ,Do your best
人 ,people 
素敵 ,nice 
身 ,body
価値 ,value 
有 ,have 
非常 ,Very 
三 ,three 
最も ,most 
両親 ,parents 
人物 ,figure 
生まれ ,birth 
警備 ,security
以前 ,before 
無事 ,Safely
聞け ,Listen
決して ,never 
銀行 ,bank 
馬鹿 ,idiot
裁判 ,trial 
降り ,descending
大学 ,University 
州 ,state 
今回 ,this time 
空 ,null 
経験 ,experience 
本物 ,genuine
部 ,department 
化 ,change 
未来 ,future 
正直 ,Honesty 
年間 ,yearly
無駄 ,waste 
現れ ,Appearance
島 ,island
病気 ,disease 
内 ,Inside 
風 ,Wind 
結構 ,structure
治療 ,treat 
予定 ,schedule 
点 ,point 
人 ,people 
許可 ,permission
勇気 ,courage 
最悪 ,worst 
本気 ,Seriously
全然 ,not at all 
任務 ,Task 
日本 ,Japan 
作戦 ,strategy
成功 ,success 
進 ,Enter 
近づ ,approach
品 ,Goods
消 ,remove 
小さな ,small 
科学 ,science 
放 ,put 
向こう ,beyond
事実 ,fact 
食 ,food
関 ,Seki
戦い ,Fight 
少年 ,boy
爆発 ,explosion 
現実 ,reality 
保護 ,Protect 
地下 ,underground
隊 ,Team 
地 ,land 
別れ ,farewell 
時代 ,era
使え ,Use it
組織 ,organize 
式 ,Mode 
落ち着け ,Calm down
動物 ,animal 
無し ,none 
下が ,The bottom is
技術 ,technology 
個人 ,personal 
期待 ,expectations
調子 ,condition 
線 ,Wire 
局 ,bureau
利用 ,use 
主人 ,Owner 
館 ,pavilion
毎日 ,every day 
付 ,With
当然 ,certainly 
患者 ,patient
全 ,Complete 
今朝 ,this morning 
過ご ,spend time
馬 ,horse 
あー ,ah 
あたし ,Me
立て ,stand up 
地獄 ,hell
： ,： 
合 ,combine 
続 ,Continued
陛下 ,His Majesty
小さ ,small 
火 ,fire
平気 ,I'm fine
世話 ,care 
能力 ,ability 
理子 ,Riko
検査 ,inspection 
アレックス ,Alex 
木 ,wood 
号 ,Number 
山 ,Mountain 
解 ,untie 
警部 ,Inspector
食事 ,meal 
幸運 ,Lucky 
構 ,structure
侵入 ,intrusion
駄目 ,No good
緊急 ,urgent 
親父 ,father
気付 ,Notice
主 ,host 
速 ,speed
代わり ,substitute
休 ,stop 
原因 ,reason 
警告 ,warn 
山里 ,mountains
特に ,especially 
部下 ,subordinate 
運命 ,destiny 
到着 ,arrival 
自殺 ,suicide 
屋 ,shop
現在 ,Now 
一部 ,Part one
行為 ,Behavior 
遺体 ,corpse
大切 ,important 
関わ ,involved
常 ,often 
感情 ,emotion 
夕食 ,dinner 
星 ,star 
達也 ,Tatsuya
手紙 ,letter 
混乱 ,confusion 
支配 ,control
影響 ,Influence 
受け入れ ,accept 
知れ ,Know
行方 ,whereabouts
少女 ,girl
位 ,Bit 
半分 ,half 
誕生 ,birth
超 ,overtake 
施設 ,facility 
殺せ ,Kill it
向け ,for 
機会 ,opportunity 
人類 ,Humanity 
正確 ,correct 
色々 ,various 
活動 ,Activity 
料理 ,cooking 
要求 ,Require 
再 ,Again 
指示 ,instruct 
部隊 ,Troops
何者 ,who
音楽 ,music 
上げ ,raise
管理 ,manage 
映像 ,picture 
開始 ,start 
議員 ,MP
反対 ,Opposition 
勝手 ,selfishness 
器 ,device
反応 ,reaction 
可愛 ,cute 
権利 ,right 
女王 ,Queen 
師 ,division
大好き ,really like 
面倒 ,troublesome 
出発 ,departure 
引 ,lead 
保安 ,security guard 
上が ,The top is
決ま ,Decided
楽しみ ,fun 
行き ,Going
将軍 ,general
担当 ,in charge 
事態 ,situation
一杯 ,a cup
近 ,close 
発 ,Departure
取り戻 ,take back
偉大 ,great
結局 ,in the end 
ロシア ,russia
司令 ,commander
平和 ,peace 
解放 ,Liberation
直 ,straight 
事務 ,Office work
瞬間 ,moment
教授 ,professor 
示 ,Show 
教会 ,church
優し ,Kindness
位置 ,Location 
以来 ,since
突然 ,Sudden 
付き合 ,companionship
集中 ,Concentrate
通信 ,communication 
あっち ,Over there
契約 ,contract 
異常 ,Abnormal
殺し ,kill
部分 ,part 
様子 ,state 
沢山 ,Lot 
住所 ,address 
参加 ,Participation
旅 ,Journey 
社 ,company
重 ,Heavy 
自然 ,nature 
殺害 ,kill
園 ,garden
速人 ,Hayato
途中 ,in the middle 
証言 ,testimony
夏美 ,Natsumi
取れ ,Take it
前回 ,last time 
手術 ,Operation 
強盗 ,robbery
種 ,kind 
魔女 ,witch 
信号 ,Signal 
専門 ,specialty
閣下 ,Your Mightiness 
会議 ,meeting 
美月 ,Mizuki
提供 ,supply 
離 ,Leave 
荷物 ,luggage 
安心 ,peace of mind 
基地 ,base
目撃 ,sighting
動き ,movement
指 ,refer to 
〜 ,〜 
時々 ,sometimes 
怪物 ,monster 
会話 ,conversation 
受け取 ,receipt
一致 ,consistent
全体 ,whole 
徳井 ,Tokui
アンタ ,You
親 ,parent
天使 ,Angel 
勝利 ,victory
主義 ,doctrine
旅行 ,trip 
死亡 ,die 
夫人 ,madam
目標 ,Target 
個 ,indivual 
中国 ,China 
生徒 ,student 
建物 ,building 
確信 ,conviction 
出会 ,encounter
使用 ,use 
台 ,tower 
社会 ,society 
周り ,around
市民 ,citizen
色 ,color 
停止 ,stop 
曲 ,song 
実験 ,experiment 
直接 ,direct 
川 ,river
ありがと ,thank you 
実行 ,execution 
半 ,Half 
乗せ ,ride
後悔 ,regret
案内 ,guidance 
禁止 ,prohibit 
距離 ,distance 
次第 ,depend on 
感染 ,Infect 
制御 ,control 
有名 ,famous 
戦闘 ,battle 
以内 ,within
書類 ,document 
偶然 ,by chance
機械 ,machinery
最終 ,finally 
無視 ,ignore 
』 ,』 
王子 ,prince 
呼吸 ,breathe 
巨人 ,Giant 
軍隊 ,army
支援 ,support 
大人 ,adult 
同意 ,agree 
恋人 ,lover 
知り合い ,acquaintance
努力 ,effort 
白 ,white 
足り ,Enough
進め ,proceed
惑星 ,planet 
味方 ,Ally
回復 ,recovery 
新聞 ,news 
『 ,『 
話し ,talk
アパート ,apartment
組 ,Group 
アア ,Aah
生き残 ,survive
一生 ,lifetime 
処理 ,process 
兵器 ,weapons
方向 ,direction 
決定 ,Decide 
当た ,Won
アクセス ,access 
満足 ,satisfaction 
クレア ,Claire
神経 ,nerve
症 ,disease
親友 ,Relatives and friends
流 ,flow 
分析 ,analyze 
不思議 ,wonder 
限 ,limited
半田 ,solder
物語 ,story 
ア ,a 
練習 ,practice 
久し ,It’s been a while
他人 ,others
両方 ,both 
南 ,South 
成長 ,growing up 
～ ,～ 
再び ,again 
医 ,medical
指揮 ,command
最大 ,maximum
病 ,sick 
記事 ,article 
時計 ,clock 
アラン ,Alan
手段 ,means
高校 ,high school 
太陽 ,sun 
具合 ,condition
青 ,green 
向 ,Towards 
才能 ,talent
交換 ,exchange 
所有 ,all 
最低 ,lowest
救急 ,emergency
魅力 ,charm 
楽 ,easy 
応答 ,response
最 ,most 
修理 ,repair 
勉強 ,study 
提案 ,suggestion 
資金 ,funds
社長 ,president 
ありさ ,Arisa
試合 ,game 
気の毒 ,I feel sorry for you
金持ち ,Rich man 
安定 ,stable
指紋 ,fingerprint
流れ ,flow
経 ,Sutra
団 ,group
代 ,generation 
日間 ,days
午後 ,afternoon 
政治 ,politics 
正体 ,true identity
確保 ,make sure 
機能 ,function 
優秀 ,excellent 
動か ,move 
発生 ,occurrence 
英雄 ,hero 
立場 ,position
電気 ,electricity 
帽子 ,hat 
効果 ,effect 
アンナ ,anna
条件 ,condition 
確実 ,certainty 
連邦 ,federal
規則 ,rule 
土地 ,land
直ぐ ,Immediately
卒業 ,graduation 
手がかり ,clue
自己 ,Own 
列車 ,train
加減 ,Adjustment
暴力 ,Violence 
立派 ,Admirable
石 ,stone 
同様 ,similar
不安 ,anxiety 
身体 ,Body 
ライアン ,ryan
無線 ,wireless
対処 ,handle 
権 ,right
起動 ,boot 
誤解 ,misunderstanding
治 ,cure
雄基 ,Xiongji
接触 ,touch 
名誉 ,honor
説得 ,persuasion
特定 ,identification 
標的 ,Target
正義 ,justice
見張 ,See Zhang
導 ,guide
無実 ,innocent
アイツ ,He
興奮 ,excited 
承知 ,Understood 
納得 ,Consent 
光栄 ,Honor 
本部 ,Headquarters
変更 ,change 
大佐 ,Colonel 
空気 ,air 
支払 ,payment
あらゆる ,every 
表 ,surface 
片付け ,Tidying up
アダム ,adam
地図 ,map 
法律 ,law 
医療 ,medical care 
台無し ,ruin 
非 ,No 
貴様 ,You
形 ,shape 
評価 ,evaluation 
都市 ,City 
出身 ,Birthplace 
釈放 ,release
大した ,big deal
保証 ,guarantee 
予想 ,prediction 
省 ,Province 
疑問 ,doubt
同僚 ,colleague 
変化 ,change 
交渉 ,negotiation 
合わせ ,Matching
生命 ,life 
村 ,village 
作業 ,work
将来 ,future 
面 ,noodle 
悠里子 ,Yuriko
空港 ,airport 
指輪 ,ring 
巨大 ,huge 
西 ,West 
手配 ,arrangement
工場 ,factory 
城 ,city
取り ,take 
話し合 ,discussion
東 ,East 
あるいは ,or 
目覚め ,Awakening
金庫 ,safe
間違え ,mistake
馬場 ,Baba 
内部 ,internal
艦隊 ,fleet
食料 ,food
あり ,can be 
保険 ,insurance 
得意 ,good at 
医師 ,doctor
英語 ,English 
離婚 ,divorce 
子ども ,Child 
違反 ,violate
公 ,male 
維持 ,maintain
男の子 ,boy 
政子 ,Masako
味 ,taste 
口座 ,account
大勢 ,large crowd 
鉄 ,iron 
親切 ,cordial
仕業 ,work
贈り物 ,gift 
待機 ,stand-by 
戦士 ,warrior
知らせ ,News
尋問 ,interrogation
発射 ,firing
食べ物 ,food 
系 ,system
駅 ,station 
開発 ,development 
事情 ,matter 
育て ,Raise
上司 ,boss 
国家 ,nation 
大使 ,Ambassador
機関 ,institution 
生物 ,biology 
超え ,exceed
天才 ,genius 
量 ,quantity 
横 ,beside 
観 ,view
入り ,enter 
正気 ,sanity
人質 ,hostage
有罪 ,guilty
約 ,about 
中止 ,cancel 
発表 ,announcement 
現金 ,cash 
始末 ,Disposal
撮影 ,photograph 
衛星 ,satellite
都合 ,convenience 
関連 ,connection 
間に合 ,in time
小屋 ,hut
公園 ,garden 
単純 ,simple
王国 ,kingdom
存知 ,Know
加え ,addition
道路 ,the way 
育 ,educate
神父 ,priest
慎重 ,cautious
生存 ,Survive 
注文 ,order 
物質 ,matter
関心 ,interest 
時期 ,period
駐車 ,Parking 
乗れ ,Get on
遺伝 ,genetics
返事 ,reply 
エイリアン ,alien
化学 ,Chemical 
数え ,counting
緊張 ,nervous 
優先 ,Priority
米国 ,US 
当て ,guess
出来事 ,event 
設計 ,design 
大量 ,A lot
投げ ,Throw
内容 ,content 
機密 ,Confidential
授業 ,class 
義務 ,obligation
突き止め ,Find out
広 ,wide
通報 ,inform
文字 ,letter 
アップ ,up
学生 ,student 
オリビア ,olivia
暗殺 ,assassination
注目 ,attention 
暗号 ,cryptography
背中 ,back 
囚人 ,prisoner
完成 ,Finish 
休み ,holiday 
孤独 ,Lonely 
アイデア ,idea 
武装 ,armed
果た ,Fulfilled
地域 ,region 
始まり ,the beginning
見事 ,splendidly
防衛 ,defense
人形 ,doll 
カリフォルニア ,california
着陸 ,landing
文句 ,Complaint
委員 ,member
地元 ,local
自信 ,confidence 
貴女 ,Lady
知識 ,Knowledge 
予約 ,reservation 
メアリー ,mary
椅子 ,Chair 
教師 ,teacher
賛成 ,agreement 
操作 ,operate 
要請 ,request
記者 ,reporter 
今後 ,from now on 